Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
1	A1-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	46588.59	0.0187598618688228	0.00024013813117716	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:22.7443134Z
2	A1-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1700.00921775903	0.0220831708956294	0.00808317089562936	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:22.7443134Z
3	A2-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	61373.8839999998	0.0179461871733646	0.00105381282663545	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:25.7423193Z
4	A2-1	Unknown	CK	Internal Standards	Group 1	1	0.014	33308.7322254736	0.0180260586937073	0.00402605869370726	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:25.7423193Z
5	A3-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	40542.21	0.0188276849934245	0.000172315006575482	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:28.7460893Z
6	A3-1	Unknown	CK	Internal Standards	Group 1	1	0.014	53010.9199147685	0.0204095970866777	0.00640959708667766	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:28.7460893Z
7	A4-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	45021.8699999999	0.0190106345604521	1.06345604520969E-05	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:31.7500194Z
8	A4-1	Unknown	CK	Internal Standards	Group 1	1	0.014	42927.9534211554	0.017414601292667	0.00341460129266698	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:31.7500194Z
9	A5-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	38779.9400000001	0.0192211718047435	0.000221171804743545	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:34.7393910Z
10	A5-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1443.06531484732	0.0208871085311885	0.00688710853118847	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:34.7393910Z
11	A6-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	37616.4450000001	0.0193793254654407	0.000379325465440655	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:37.7471173Z
12	A6-1	Unknown	CK	Internal Standards	Group 1	1	0.014	12224.5985072226	0.0202548813598165	0.00625488135981653	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:37.7471173Z
13	A7-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	48677.4900000001	0.0186553207424534	0.00034467925754661	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:40.7454351Z
14	A7-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1502.780708376	0.017939431225695	0.00393943122569498	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:40.7454351Z
15	A8-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	38618.55	0.0191971308849436	0.000197130884943605	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:43.7392929Z
16	A8-1	Unknown	CK	Internal Standards	Group 1	1	0.014	1571.28420020343	0.0178435570557722	0.00384355705577216	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:43.7392929Z
17	A9-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	43381.2599999999	0.0188128898654291	0.000187110134570914	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:46.7429090Z
18	A9-1	Unknown	CK	Internal Standards	Group 1	1	0.014	64673.5222345759	0.020056952179229	0.00605695217922896	True	N/A		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:46.7429090Z
19	A10-1	Unknown	PPD	Quantifiers	Group 1	N/A	0.019	41360.5350000001	0.018606615832568	0.000393384167431964	True	<2 points		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:49.7371990Z
