Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
1	A1-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	53045.0559491939	0.0195550048392131	0.0014449951607869	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:22.7443134Z
2	A1-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1082.25	0.0213985426790561	0.0053985426790561	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:22.7443134Z
3	A2-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	71204.0421661493	0.0191009695452921	0.00189903045470785	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:25.7423193Z
4	A2-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	24266.6749999999	0.0167688937060643	0.000768893706064335	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:25.7423193Z
5	A3-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	47797.2815796202	0.0197181520506076	0.00128184794939242	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:28.7460893Z
6	A3-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	37102.77	0.0191448190278421	0.0031448190278421	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:28.7460893Z
7	A4-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	52893.2687699434	0.019821956146465	0.00117804385353505	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:31.7500194Z
8	A4-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	32479.245	0.0142712081777456	0.00172879182225437	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:31.7500194Z
9	A5-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	48227.7993096911	0.0199807440220272	0.00101925597797282	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:34.7393910Z
10	A5-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	921.375000000004	0.0180163093762483	0.00201630937624828	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:34.7393910Z
11	A6-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49105.376710605	0.0207138177538945	0.000286182246105472	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:37.7471173Z
12	A6-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	7740.49500000002	0.0182563274395428	0.0022563274395428	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:37.7471173Z
13	A7-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	53433.2338718706	0.0193686718527023	0.00163132814729767	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:40.7454351Z
14	A7-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1110.375	0.0164035545803432	0.000403554580343194	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:40.7454351Z
15	A8-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	47491.3866602759	0.0201172235907341	0.000882776409265876	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:43.7392929Z
16	A8-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1198.125	0.0167715141935116	0.000771514193511628	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:43.7392929Z
17	A9-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50525.6804831053	0.0195628656458141	0.00143713435418591	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:46.7429090Z
18	A9-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	43351.2449999999	0.0182108559214237	0.00221085592142372	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:46.7429090Z
19	A10-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	51032.1333699501	0.0199001775842278	0.00109982241577218	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:49.7371990Z
20	A10-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	32340.1950000001	0.0182670178292877	0.00226701782928771	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:49.7371990Z
21	A11-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50490.7041863006	0.0196257030585136	0.00137429694148641	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:52.7457206Z
22	A11-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1167.75	0.0177205446662519	0.00172054466625193	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:52.7457206Z
23	A12-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	51423.3501531616	0.019387434929192	0.00161256507080801	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:55.7444352Z
24	A12-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	986.624999999999	0.0217701838296885	0.00577018382968846	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:55.7444352Z
25	A13-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	54131.3470911215	0.0192446149081812	0.00175538509181883	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:58.7422865Z
26	A13-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	7380.57499999999	0.0175501742735992	0.00155017427359925	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:46:58.7422865Z
27	A14-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	44193.2525227152	0.0195312922728877	0.00146870772711228	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:01.7415699Z
28	A14-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	38560.8149999998	0.0154628967542246	0.000537103245775394	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:01.7415699Z
29	A15-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	53685.2715396653	0.0196400889717912	0.00135991102820884	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:04.7403982Z
30	A15-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1275.75	0.0172568481180526	0.00125684811805263	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:47:04.7403982Z
